component	engine	weapon_0
eng_cygnus_hd8	delta7_engine_s01:engine1	
eng_cygnus_hd_5	delta7_engine_s01:engine1	
eng_cygnus_hdx	delta7_engine_s01:engine1	
eng_damorian_rx7	delta7_engine_s01:engine1	
eng_freitek_dual_jet	delta7_engine_s01:engine1	
eng_gallofree_advanced	delta7_engine_s01:engine1	
eng_gallofree_jx2	delta7_engine_s01:engine1	
eng_gallofree_jx3	delta7_engine_s01:engine1	
eng_generic	delta7_engine_s01:engine1	
eng_h17_singularity	delta7_engine_s01:engine1	
eng_haor_chall_old_engine	delta7_engine_s01:engine1	
eng_incom_advanced	delta7_engine_s01:engine1	
eng_incom_advanced_fusialthrust	delta7_engine_s01:engine1	
eng_incom_e16	delta7_engine_s01:engine1	
eng_incom_elite	delta7_engine_s01:engine1	
eng_incom_fusialthrust	delta7_engine_s01:engine1	
eng_incom_fusialthrust_2	delta7_engine_s01:engine1	
eng_incom_heavy_fusialthrust	delta7_engine_s01:engine1	
eng_incom_improved_fusialthrust_2	delta7_engine_s01:engine1	
eng_incom_light_fusialthrust	delta7_engine_s01:engine1	
eng_koensayr_advanced	delta7_engine_s01:engine1	
eng_koensayr_dual_small_ionjet	delta7_engine_s01:engine1	
eng_koensayr_elite	delta7_engine_s01:engine1	
eng_koensayr_enhanced_dual_small_ionjet	delta7_engine_s01:engine1	
eng_koensayr_heavy_ionjet	delta7_engine_s01:engine1	
eng_koensayr_ionjet	delta7_engine_s01:engine1	
eng_koensayr_small_ionjet	delta7_engine_s01:engine1	
eng_koensayr_tuned_small_ionjet	delta7_engine_s01:engine1	
eng_kongar_defender	delta7_engine_s01:engine1	
eng_kse_a2x	delta7_engine_s01:engine1	
eng_kse_a5x	delta7_engine_s01:engine1	
eng_kse_a7x	delta7_engine_s01:engine1	
eng_kse_a8x	delta7_engine_s01:engine1	
eng_kse_advanced	delta7_engine_s01:engine1	
eng_kse_elite	delta7_engine_s01:engine1	
eng_kse_improved_a2x	delta7_engine_s01:engine1	
eng_kuat_a9x	delta7_engine_s01:engine1	
eng_kuat_f31	delta7_engine_s01:engine1	
eng_kuat_tc40	delta7_engine_s01:engine1	
eng_mandal_advanced	delta7_engine_s01:engine1	
eng_mandal_elite	delta7_engine_s01:engine1	
eng_mandal_enhanced_heavy	delta7_engine_s01:engine1	
eng_mandal_firestorm	delta7_engine_s01:engine1	
eng_mandal_firestorm_2	delta7_engine_s01:engine1	
eng_mandal_heavy	delta7_engine_s01:engine1	
eng_mandal_x37_vandal	delta7_engine_s01:engine1	
eng_mandal_x57_vandal	delta7_engine_s01:engine1	
eng_mission_reward_imperial_cygnus_megadrive	delta7_engine_s01:engine1	
eng_mission_reward_neutral_haor_chall_military	delta7_engine_s01:engine1	
eng_mission_reward_neutral_mandal_inferno	delta7_engine_s01:engine1	
eng_mission_reward_rebel_incom_military	delta7_engine_s01:engine1	
eng_mk1	delta7_engine_s01:engine1	
eng_mk2	delta7_engine_s01:engine1	
eng_mk3	delta7_engine_s01:engine1	
eng_mk4	delta7_engine_s01:engine1	
eng_mk5	delta7_engine_s01:engine1	
eng_moncal_charged_standard	delta7_engine_s01:engine1	
eng_moncal_enhanced_light	delta7_engine_s01:engine1	
eng_moncal_heavy	delta7_engine_s01:engine1	
eng_moncal_ifs32	delta7_engine_s01:engine1	
eng_moncal_ifs64	delta7_engine_s01:engine1	
eng_moncal_improved_heavy	delta7_engine_s01:engine1	
eng_moncal_light	delta7_engine_s01:engine1	
eng_moncal_standard	delta7_engine_s01:engine1	
eng_novaldex_advanced	delta7_engine_s01:engine1	
eng_novaldex_eventhorizon	delta7_engine_s01:engine1	
eng_novaldex_light_eventhorizon	delta7_engine_s01:engine1	
eng_novaldex_singularity	delta7_engine_s01:engine1	
eng_novaldex_x12	delta7_engine_s01:engine1	
eng_novaldex_x6	delta7_engine_s01:engine1	
eng_novaldex_x7	delta7_engine_s01:engine1	
eng_novaldex_x9	delta7_engine_s01:engine1	
eng_nubian_221	delta7_engine_s01:engine1	
eng_nubian_221_racing_mod	delta7_engine_s01:engine1	
eng_prototype	delta7_engine_s01:engine1	
eng_qualdex_a10	delta7_engine_s01:engine1	
eng_qualdex_a13	delta7_engine_s01:engine1	
eng_qualdex_advanced	delta7_engine_s01:engine1	
eng_qualdex_b10	delta7_engine_s01:engine1	
eng_qualdex_elite	delta7_engine_s01:engine1	
eng_qualdex_igt	delta7_engine_s01:engine1	
eng_qualdex_kyromaster	delta7_engine_s01:engine1	
eng_qualdex_small_kyromaster	delta7_engine_s01:engine1	
eng_quantum_ion_drive	delta7_engine_s01:engine1	
eng_rendili_demon_mk1	delta7_engine_s01:engine1	
eng_rendili_elite	delta7_engine_s01:engine1	
eng_rss_advanced	delta7_engine_s01:engine1	
eng_rss_elite	delta7_engine_s01:engine1	
eng_rss_imperial_skyrunner	delta7_engine_s01:engine1	
eng_rss_imperial_skyrunner_2	delta7_engine_s01:engine1	
eng_rss_imperial_skyrunner_3	delta7_engine_s01:engine1	
eng_rss_imperial_skyrunner_4	delta7_engine_s01:engine1	
eng_sds_imperial_1	delta7_engine_s01:engine1	
eng_sds_imperial_2	delta7_engine_s01:engine1	
eng_sds_limited_imperial_1	delta7_engine_s01:engine1	
eng_seinar_ps56	delta7_engine_s01:engine1	
eng_sfs_advanced	delta7_engine_s01:engine1	
eng_sfs_elite	delta7_engine_s01:engine1	
eng_sfs_imperial_1	delta7_engine_s01:engine1	
eng_sfs_imperial_2	delta7_engine_s01:engine1	
eng_sfs_imperial_3	delta7_engine_s01:engine1	
eng_sfs_imperial_4	delta7_engine_s01:engine1	
eng_sfs_imperial_5	delta7_engine_s01:engine1	
eng_sfs_modified_imperial_3	delta7_engine_s01:engine1	
eng_sfs_performance_imperial_1	delta7_engine_s01:engine1	
eng_sfs_tuned_imperial_2	delta7_engine_s01:engine1	
eng_sorosuub_l_337_ion_engine	delta7_engine_s01:engine1	
eng_sorosuub_tuned_l_337_ion_engine	delta7_engine_s01:engine1	
eng_sorosuub_u83r_ion_drive	delta7_engine_s01:engine1	
eng_subpro_light_engines	delta7_engine_s01:engine1	
eng_surronian_a2	delta7_engine_s01:engine1	
eng_surronian_a25	delta7_engine_s01:engine1	
eng_ubrikkian_n2	delta7_engine_s01:engine1	
eng_kessel_imperial_rendili_hyperion_drive	delta7_engine_s01:engine1	
eng_kessel_imperial_sds_special_forces	delta7_engine_s01:engine1	
eng_kessel_imperial_sfs_special_forces	delta7_engine_s01:engine1	
eng_kessel_rebel_incom_t11_elite	delta7_engine_s01:engine1	
eng_kessel_rebel_novaldex_blackhole_elite	delta7_engine_s01:engine1	
eng_kessel_rebel_novaldex_grb1138	delta7_engine_s01:engine1	
eng_reward_kuat_elite	delta7_engine_s01:engine1	
eng_nova_01	delta7_engine_s01:engine1	
eng_orion_01	delta7_engine_s01:engine1	
collection_reward_engine_01_mk1	delta7_engine_s01:engine1	
collection_reward_engine_01_mk2	delta7_engine_s01:engine1	
collection_reward_engine_01_mk3	delta7_engine_s01:engine1	
collection_reward_engine_01_mk4	delta7_engine_s01:engine1	
collection_reward_engine_01_mk5	delta7_engine_s01:engine1	
eng_t86_shooting_star	delta7_engine_s01:engine1	
eng_kuat_m24	delta7_engine_s01:engine1	
wpn_advanced_blaster		delta7_weapon_s01:weapon1
wpn_advanced_blaster_green		delta7_weapon_s01:weapon1
wpn_advanced_disruptor		delta7_weapon_s01:weapon1
wpn_advanced_ioncannon		delta7_weapon_s01:weapon1
wpn_armek_advanced		delta7_weapon_s01:weapon1
wpn_armek_elite		delta7_weapon_s01:weapon1
wpn_armek_sw4		delta7_weapon_s01:weapon1
wpn_armek_sw6		delta7_weapon_s01:weapon1
wpn_armek_sw7		delta7_weapon_s01:weapon1
wpn_armek_sw8		delta7_weapon_s01:weapon1
wpn_awing_blaster		delta7_weapon_s01:weapon1
wpn_borstel_rg9		delta7_weapon_s01:weapon1
wpn_bwing_blaster		delta7_weapon_s01:weapon1
wpn_corellian_1d		delta7_weapon_s01:weapon1
wpn_corellian_ag1g_laser		delta7_weapon_s01:weapon1
wpn_corellian_ag2g_quad_laser		delta7_weapon_s01:weapon1
wpn_corellian_cruiser_grade_blaster_mk1		delta7_weapon_s01:weapon1
wpn_corellian_heavy_gauss		delta7_weapon_s01:weapon1
wpn_crafted_incom_disruptor		delta7_weapon_s01:weapon1
wpn_crafted_slayn_ioncannon		delta7_weapon_s01:weapon1
wpn_crafted_subpro_tripleblaster		delta7_weapon_s01:weapon1
wpn_crafted_tractor_beam		delta7_weapon_s01:weapon1
wpn_cygnus_destroyer_mk1		delta7_weapon_s01:weapon1
wpn_cygnus_destroyer_mk2		delta7_weapon_s01:weapon1
wpn_cygnus_elite		delta7_weapon_s01:weapon1
wpn_cygnus_eradicator_1		delta7_weapon_s01:weapon1
wpn_experimental_blaster		delta7_weapon_s01:weapon1
wpn_experimental_blaster_green		delta7_weapon_s01:weapon1
wpn_experimental_disruptor		delta7_weapon_s01:weapon1
wpn_experimental_ioncannon		delta7_weapon_s01:weapon1
wpn_fastspray_2000_disruptor		delta7_weapon_s01:weapon1
wpn_freitek_cannoneer_mk1		delta7_weapon_s01:weapon1
wpn_gyrhil_auto_blaster		delta7_weapon_s01:weapon1
wpn_gyrhil_r9x		delta7_weapon_s01:weapon1
wpn_haor_chall_speedblaster		delta7_weapon_s01:weapon1
wpn_heavy_blaster		delta7_weapon_s01:weapon1
wpn_heavy_blaster_green		delta7_weapon_s01:weapon1
wpn_heavy_disruptor		delta7_weapon_s01:weapon1
wpn_heavy_ioncannon		delta7_weapon_s01:weapon1
wpn_hk_modified_scorcher_elite		delta7_weapon_s01:weapon1
wpn_hk_scorcher		delta7_weapon_s01:weapon1
wpn_hk_scorcher_2		delta7_weapon_s01:weapon1
wpn_hk_scorcher_3		delta7_weapon_s01:weapon1
wpn_hk_scorcher_advanced		delta7_weapon_s01:weapon1
wpn_hk_scorcher_elite		delta7_weapon_s01:weapon1
wpn_hk_scorcher_heavy		delta7_weapon_s01:weapon1
wpn_hoersch_railgun		delta7_weapon_s01:weapon1
wpn_incom_advanced_blaster		delta7_weapon_s01:weapon1
wpn_incom_blaster		delta7_weapon_s01:weapon1
wpn_incom_disruptor		delta7_weapon_s01:weapon1
wpn_incom_elite_quad_blaster		delta7_weapon_s01:weapon1
wpn_incom_heavy_blaster		delta7_weapon_s01:weapon1
wpn_incom_heavy_quad_blaster		delta7_weapon_s01:weapon1
wpn_incom_light_blaster		delta7_weapon_s01:weapon1
wpn_incom_quad_blaster		delta7_weapon_s01:weapon1
wpn_incom_shredder		delta7_weapon_s01:weapon1
wpn_incom_tt13		delta7_weapon_s01:weapon1
wpn_incom_tt8		delta7_weapon_s01:weapon1
wpn_kdy_pounder_mk1		delta7_weapon_s01:weapon1
wpn_koensayr_deluxe_ion_accelerator		delta7_weapon_s01:weapon1
wpn_koensayr_ion_accelerator		delta7_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_2		delta7_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_3		delta7_weapon_s01:weapon1
wpn_koensayr_ion_accelerator_advanced		delta7_weapon_s01:weapon1
wpn_koensayr_light_disruptor		delta7_weapon_s01:weapon1
wpn_koensayr_tuned_light_disruptor		delta7_weapon_s01:weapon1
wpn_kse_double_blaster		delta7_weapon_s01:weapon1
wpn_kse_light_disruptor		delta7_weapon_s01:weapon1
wpn_launcher_concussion_mk1		delta7_weapon_s01:weapon1
wpn_launcher_concussion_mk2		delta7_weapon_s01:weapon1
wpn_launcher_concussion_mk3		delta7_weapon_s01:weapon1
wpn_launcher_imagerec_mk1		delta7_weapon_s01:weapon1
wpn_launcher_imagerec_mk2		delta7_weapon_s01:weapon1
wpn_launcher_proton_mk1		delta7_weapon_s01:weapon1
wpn_launcher_proton_mk2		delta7_weapon_s01:weapon1
wpn_launcher_proton_mk3		delta7_weapon_s01:weapon1
wpn_launcher_proton_mk4		delta7_weapon_s01:weapon1
wpn_launcher_seismic_mk1		delta7_weapon_s01:weapon1
wpn_launcher_seismic_mk2		delta7_weapon_s01:weapon1
wpn_launcher_seismic_mk3		delta7_weapon_s01:weapon1
wpn_launcher_spacebomb_mk1		delta7_weapon_s01:weapon1
wpn_launcher_spacebomb_mk2		delta7_weapon_s01:weapon1
wpn_light_blaster		delta7_weapon_s01:weapon1
wpn_light_blaster_green		delta7_weapon_s01:weapon1
wpn_light_disruptor		delta7_weapon_s01:weapon1
wpn_light_ioncannon		delta7_weapon_s01:weapon1
wpn_mandal_advanced_annihilator		delta7_weapon_s01:weapon1
wpn_mandal_annihilator_mk2		delta7_weapon_s01:weapon1
wpn_mandal_annilhator_mk1		delta7_weapon_s01:weapon1
wpn_mandal_elite_annihilator		delta7_weapon_s01:weapon1
wpn_mandal_enhanced_mangler_mk1		delta7_weapon_s01:weapon1
wpn_mandal_heavy_annihilator		delta7_weapon_s01:weapon1
wpn_mandal_mangler_mk1		delta7_weapon_s01:weapon1
wpn_mandal_qv3_disruptor		delta7_weapon_s01:weapon1
wpn_mandal_qv5_disruptor		delta7_weapon_s01:weapon1
wpn_mandal_super_mangler		delta7_weapon_s01:weapon1
wpn_medium_blaster		delta7_weapon_s01:weapon1
wpn_medium_blaster_green		delta7_weapon_s01:weapon1
wpn_medium_disruptor		delta7_weapon_s01:weapon1
wpn_medium_ioncannon		delta7_weapon_s01:weapon1
wpn_mining_laser_mk1		delta7_weapon_s01:weapon1
wpn_mining_laser_mk2		delta7_weapon_s01:weapon1
wpn_mining_laser_mk3		delta7_weapon_s01:weapon1
wpn_mission_reward_imperial_cygnus_starblaster		delta7_weapon_s01:weapon1
wpn_mission_reward_imperial_sds_boltdriver		delta7_weapon_s01:weapon1
wpn_mission_reward_neutral_borstel_disruptor		delta7_weapon_s01:weapon1
wpn_mission_reward_neutral_hk_military_blaster		delta7_weapon_s01:weapon1
wpn_mission_reward_neutral_mandal_light_blaster		delta7_weapon_s01:weapon1
wpn_mission_reward_rebel_incom_tricannon		delta7_weapon_s01:weapon1
wpn_mission_reward_rebel_taim_ion_driver		delta7_weapon_s01:weapon1
wpn_moncal_light_blaster		delta7_weapon_s01:weapon1
wpn_prototype		delta7_weapon_s01:weapon1
wpn_prototype_tie		delta7_weapon_s01:weapon1
wpn_rendili_advanced		delta7_weapon_s01:weapon1
wpn_rendili_fr13_disruptor		delta7_weapon_s01:weapon1
wpn_rendili_fr9_disruptor		delta7_weapon_s01:weapon1
wpn_rendili_sc3_disruptor		delta7_weapon_s01:weapon1
wpn_rendili_sc8_disruptor		delta7_weapon_s01:weapon1
wpn_rss_imperial_cannon		delta7_weapon_s01:weapon1
wpn_sds_elite		delta7_weapon_s01:weapon1
wpn_sds_heavy_imperial_spc_forces_cannon		delta7_weapon_s01:weapon1
wpn_sds_imperial_blaster_1		delta7_weapon_s01:weapon1
wpn_sds_imperial_blaster_2		delta7_weapon_s01:weapon1
wpn_sds_imperial_special_forces_cannon		delta7_weapon_s01:weapon1
wpn_sds_modified_elite		delta7_weapon_s01:weapon1
wpn_seinar_disruptor		delta7_weapon_s01:weapon1
wpn_seinar_ion_cannon		delta7_weapon_s01:weapon1
wpn_seinar_linked_cannon		delta7_weapon_s01:weapon1
wpn_seinar_ls1		delta7_weapon_s01:weapon1
wpn_seinar_ls72		delta7_weapon_s01:weapon1
wpn_sfs_elite		delta7_weapon_s01:weapon1
wpn_sfs_imperial_blaster_1		delta7_weapon_s01:weapon1
wpn_sfs_imperial_blaster_2		delta7_weapon_s01:weapon1
wpn_sfs_imperial_blaster_3		delta7_weapon_s01:weapon1
wpn_sfs_imperial_blaster_4		delta7_weapon_s01:weapon1
wpn_sfs_imperial_special_forces_blaster		delta7_weapon_s01:weapon1
wpn_sfs_improved_imperial_blaster_2		delta7_weapon_s01:weapon1
wpn_slayn_deluxe_light_ioncannon		delta7_weapon_s01:weapon1
wpn_slayn_ioncannon		delta7_weapon_s01:weapon1
wpn_slayn_light_ioncannon		delta7_weapon_s01:weapon1
wpn_subpro_advanced_cannon		delta7_weapon_s01:weapon1
wpn_subpro_improved_light_ioncannon		delta7_weapon_s01:weapon1
wpn_subpro_light_ioncannon		delta7_weapon_s01:weapon1
wpn_subpro_modified_tricannon		delta7_weapon_s01:weapon1
wpn_subpro_tricannon		delta7_weapon_s01:weapon1
wpn_subpro_tripleblaster		delta7_weapon_s01:weapon1
wpn_subpro_tripleblaster_mark2		delta7_weapon_s01:weapon1
wpn_subpro_tripleblaster_mark3		delta7_weapon_s01:weapon1
wpn_taim_elite		delta7_weapon_s01:weapon1
wpn_taim_heavy_laser		delta7_weapon_s01:weapon1
wpn_taim_ix4		delta7_weapon_s01:weapon1
wpn_taim_ix5		delta7_weapon_s01:weapon1
wpn_taim_kx5		delta7_weapon_s01:weapon1
wpn_taim_kx8		delta7_weapon_s01:weapon1
wpn_taim_kx9		delta7_weapon_s01:weapon1
wpn_tieadvanced_blaster		delta7_weapon_s01:weapon1
wpn_tractor_pulse_gun		delta7_weapon_s01:weapon1
wpn_trandoshan_fg1a		delta7_weapon_s01:weapon1
wpn_vengeance_ion_cannon		delta7_weapon_s01:weapon1
wpn_vulcan_cannon		delta7_weapon_s01:weapon1
wpn_z95_blaster		delta7_weapon_s01:weapon1
wpn_heavy_ionic_pulse_weapon		delta7_weapon_s01:weapon1
wpn_crafted_mining_laser_mk1		delta7_weapon_s01:weapon1
wpn_crafted_mining_laser_mk2		delta7_weapon_s01:weapon1
wpn_crafted_mining_laser_mk3		delta7_weapon_s01:weapon1
wpn_crafted_mining_laser_elite		delta7_weapon_s01:weapon1
wpn_prototype		delta7_weapon_s01:weapon1
wpn_ionic_pulse_weapon		delta7_weapon_s01:weapon1
wpn_reward_seinar_elite		delta7_weapon_s01:weapon1
wpn_kessel_imperial_rendili_prototype_x		delta7_weapon_s01:weapon1
wpn_kessel_imperial_sds_experimental_secret_ops		delta7_weapon_s01:weapon1
wpn_kessel_imperial_sfs_elite_ops		delta7_weapon_s01:weapon1
wpn_kessel_rebel_incom_dualcore_flashcannon		delta7_weapon_s01:weapon1
wpn_kessel_rebel_riiz_combine_slammer_cannon		delta7_weapon_s01:weapon1
wpn_kessel_rebel_unknown_rayslinger		delta7_weapon_s01:weapon1
wpn_reward_incom_elite		delta7_weapon_s01:weapon1
wpn_reward_seinar_elite		delta7_weapon_s01:weapon1
wpn_reward_slayn_elite		delta7_weapon_s01:weapon1
wpn_reward_subpro_elite		delta7_weapon_s01:weapon1
wpn_reward_taim_elite		delta7_weapon_s01:weapon1
wpn_nova_ioncannon		delta7_weapon_s01:weapon1
wpn_orion_disruptor		delta7_weapon_s01:weapon1
wpn_borstel_experimental		delta7_weapon_s01:weapon1
