index	appearanceTemplateName	fireClientEffectTemplateName	hitOtherClientEffectTemplateName	hitMetalClientEffectTemplateName	hitStoneClientEffectTemplateName	hitAcidClientEffectTemplateName	hitIceClientEffectTemplateName	hitMoltenStoneClientEffectTemplateName	hitObsidianStoneClientEffectTemplateName	hitShieldClientEffectTemplateName	hitShieldShellClientEffectTemplateName	hitFriendlyFireClientEffectTemplateName	numLightningBolts
9	appearance/pt_bolt_lightning_cannon_lightning.prt	clienteffect/cbt_gun_lightning_cannon_lightning.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_lightning_cannon.cef	clienteffect/cbt_bolt_hit_asteroid_lightning_cannon.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
10	appearance/pt_bolt_ion_cannon_ion.prt	clienteffect/cbt_gun_ion_cannon_ion.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_ion_cannon_ion.cef	clienteffect/cbt_bolt_hit_asteroid_ion_cannon_ion.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
11	appearance/pt_bolt_flash_cannon_flash.prt	clienteffect/cbt_gun_flash_cannon_flash.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_flash_cannon.cef	clienteffect/cbt_bolt_hit_asteroid_flash_cannon.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
12	appearance/pt_bolt_flash_cannon_elite_flash.prt	clienteffect/cbt_gun_flash_cannon_elite_flash.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_flash_cannon_elite.cef	clienteffect/cbt_bolt_hit_asteroid_elite_flash_cannon.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
13	appearance/pt_bolt_advanced_laser_cannon_laser.prt	clienteffect/cbt_gun_advanced_laser_cannon_laser.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_laser_cannon.cef	clienteffect/cbt_bolt_hit_asteroid_laser_cannon.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
14	appearance/pt_bolt_ion_cannon_proton.prt	clienteffect/cbt_gun_ion_cannon_proton.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_ion_cannon_proton.cef	clienteffect/cbt_bolt_hit_asteroid_ion_cannon_proton.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
15	appearance/pt_bolt_ion_cannon_acid_2.prt	clienteffect/cbt_gun_ion_cannon_acid.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_ion_cannon_acid.cef	clienteffect/cbt_bolt_hit_asteroid_ion_cannon_acid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
16	appearance/pt_bolt_green_space.prt	clienteffect/cbt_gun_turbolaser.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
17	appearance/pt_bolt_plasma.prt	clienteffect/cbt_gun_plasma.cef	clienteffect/cbt_hit_plasma.cef	clienteffect/cbt_hit_plasma.cef	clienteffect/cbt_hit_plasma.cef	clienteffect/cbt_hit_plasma.cef	clienteffect/cbt_hit_plasma.cef	clienteffect/cbt_hit_plasma.cef	clienteffect/cbt_hit_plasma.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
18	appearance/pt_bolt_gauss.prt	clienteffect/cbt_gun_gauss.cef	clienteffect/cbt_bolt_hit_gauss.cef	clienteffect/cbt_bolt_hit_gauss.cef	clienteffect/cbt_bolt_hit_gauss.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
19	appearance/pt_bolt_railgun.prt	clienteffect/cbt_gun_railgun.cef	clienteffect/cbt_bolt_hit_railgun.cef	clienteffect/cbt_bolt_hit_railgun.cef	clienteffect/cbt_bolt_hit_railgun.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
20	appearance/pt_tractorbeam.ltn		clienteffect/cbt_bolt_hit_tractorpulse.cef	clienteffect/cbt_bolt_hit_tractorpulse.cef	clienteffect/cbt_bolt_hit_tractorpulse.cef	clienteffect/cbt_bolt_hit_tractorpulse.cef	clienteffect/cbt_bolt_hit_tractorpulse.cef	clienteffect/cbt_bolt_hit_tractorpulse.cef	clienteffect/cbt_bolt_hit_tractorpulse.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	2
21	appearance/force_lightning_dark10.ltn	clienteffect/cbt_gun_flash_cannon_elite_flash.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_flash_cannon_elite.cef	clienteffect/cbt_bolt_hit_asteroid_elite_flash_cannon.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	5
22	appearance/pt_bolt_vulcan.prt	clienteffect/cbt_gun_vulcan.cef	clienteffect/cbt_bolt_hit_vulcan.cef	clienteffect/cbt_bolt_hit_vulcan.cef	clienteffect/cbt_bolt_hit_vulcan.cef	clienteffect/cbt_bolt_hit_vulcan.cef	clienteffect/cbt_bolt_hit_vulcan.cef	clienteffect/cbt_bolt_hit_vulcan.cef	clienteffect/cbt_bolt_hit_vulcan.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
23	appearance/pt_bolt_null.prt	clienteffect/cbt_gun_null.cef	clienteffect/cbt_hit_null.cef	clienteffect/cbt_hit_null.cef	clienteffect/cbt_hit_null.cef	clienteffect/cbt_hit_null.cef	clienteffect/cbt_hit_null.cef	clienteffect/cbt_hit_null.cef	clienteffect/cbt_hit_null.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
24	appearance/pt_bolt_mining_mark1.prt	clienteffect/cbt_gun_mining.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_hit_mining.cef	clienteffect/cbt_hit_mining.cef	clienteffect/cbt_hit_mining.cef	clienteffect/cbt_hit_mining.cef	clienteffect/cbt_hit_mining.cef	clienteffect/cbt_hit_mining.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
25	Lancer Frigate												
26	Nebulon Frigate												
27	appearance/pt_bolt_red_space.prt	clienteffect/cbt_gun_firespray.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
